season,episode,name,rating
13,23,Dead Letter,8.4
13,24,Family First,9.2
14,1,Rogue,7.6
14,2,Being Bad,7.5
14,3,Privileged Information,7.5
14,4,Love Boat,7.4
14,5,Philly,7.3
14,6,Shell Game,7.4
14,7,Home of the Brave,7.5
14,8,Enemy Combatant,7.4
14,9,Pay to Play,7.3
14,10,The Tie That Binds,8.0
14,11,Willoughby,7.9
14,12,Off the Grid,7.7
14,13,Keep Going,9.2
14,14,Nonstop,7.6
14,15,"Pandora's Box, Part I",7.9
14,16,A Many Splendored Thing,7.5
14,17,What Lies Above,8.0
14,18,M.I.A.,8.1
14,19,The Wall,7.6
14,20,A Bowl of Cherries,7.5
14,21,"One Book, Two Covers",7.4
14,22,Beastmaster,7.5
14,23,Something Blue,8.2
14,24,Rendezvous,8.0
15,1,House Divided,8.2
15,2,Twofer,7.7
15,3,Exit Strategy,7.7
15,4,Skeleton Crew,7.8
15,5,Fake It 'Til You Make It,7.6
15,6,Trapped,7.5
15,7,Burden of Proof,8.2
15,8,Voices,7.9
15,9,Ready or Not,7.4
15,10,Double Down,7.6
15,11,High Tide,8.1
15,12,Dark Secrets,7.9
15,13,Family Ties,7.7
15,14,Keep Your Friends Close,8.0
15,15,Keep Your Enemies Closer,8.1
15,16,Handle with Care,8.0
15,17,One Man's Trash,7.7
15,18,Death From Above,8.2
15,19,The Numerical Limit,7.6
15,20,Sight Unseen,7.8
15,21,One Step Forward,7.8
15,22,Two Steps Back,8.3
15,23,Fallout,7.6
15,24,Date with Destiny,8.2
16,1,Destiny's Child,8.0
16,2,Love Thy Neighbor,7.8
16,3,Boom,7.7
16,4,Third Wheel,8.0
16,5,Fragments,8.4
16,6,Beneath the Surface,7.9
16,7,A Thousand Words,7.7
16,8,Friendly Fire,7.9
16,9,Tailing Angie,7.7
16,10,What Child is This?,7.9
16,11,Toil and Trouble,8.0
16,12,The Last Link,8.0
16,13,She,9.1
16,14,Once Upon A Tim,8.3
16,15,Crossing the Line,7.6
16,16,Bears and Cubs,7.7
16,17,Silent Service,8.0
16,18,Mona Lisa,8.3
16,19,Perennial,7.8
16,20,Hail & Farewell,8.2
16,21,"Judge, Jury...",8.2
16,22,...and Executioner,8.3
16,23,Lost Time,8.0
16,24,Daughters,8.1
17,1,Out of the Darkness,8.3
17,2,Into the Light,8.2
17,3,Going Mobile,7.5
17,4,Someone Else's Shoes,7.9
17,5,Wide Awake,7.7
17,6,Institutionalized,7.3
17,7,No Vacancy,7.8
17,8,Musical Chairs,7.8
17,9,IRL,8.4
17,10,The North Pole,8.5
17,11,In the Wind,8.6
17,12,Flight Plan,8.1
17,13,Sound Off,7.8
17,14,On Fire,8.4
17,15,Lonely Hearts,7.7
17,16,Ephemera,8.3
17,17,In a Nutshell,7.8
17,18,Schooled,7.7
17,19,Blarney,7.6
17,20,The Arizona,9.0
18,1,Sturgeon Season,7.2
18,2,Everything Starts Somewhere,8.6
18,3,Blood and Treasure,7.8
18,4,Sunburn,7.9
18,5,Head of the Snake,8.5
18,6,1mm,7.8
18,7,The First Day,8.0
18,8,True Believer,7.4
18,9,Winter Chill,7.9
18,10,Watchdog,7.5
18,11,Gut Punch,6.9
18,12,Sangre,7.8
18,13,Misconduct,7.6
18,14,Unseen Improvements,8.1
18,15,Blown Away,7.9
18,16,Rule 91,8.2
19,1,Blood in the Water,8.2
19,2,Nearly Departed,8.5
19,3,Road to Nowhere,7.9
19,4,Great Wide Open,8.9
19,5,Face the Strange,7.9
19,6,False Start,7.3
19,7,Docked,7.9
19,8,Peacekeeper,7.3
19,9,Collective Memory,7.4
19,10,Pledge of Allegiance,7.6
19,11,All Hands,8.0
19,12,Fight or Flight,7.4
19,13,The Helpers,7.7
19,14,First Steps,6.9
19,15,Thick as Thieves,7.7
19,16,The Wake,7.5
19,17,Starting Over,7.5
19,18,Last Dance,7.8
19,19,The Brat Pack,7.6
19,20,All or Nothing,7.9
19,21,Birds of a Feather,8.3
20,1,A Family Matter,7.8
20,2,Daddy Issues,7.5
20,3,Unearth,7.8
20,4,Leave No Trace,7.6
20,5,Guardian,7.9
20,6,The Good Fighter,7.1
20,7,Love Lost,7.5
20,8,Turkey Trot,6.9
